POSTE,RR
64543001,1729.4
64549001,1341.4
65001001,1023.6
65017400,325.2
65018001,1369.0
65031005,864.6
65032005,1333.7
65055001,1042.7
65059022,1309.3
65099400,182.2
65123007,1558.1
65125001,1229.4
65129003,968.9
65138005,1531.3
65138007,978.0
65138402,474.2
65188005,1341.8
65188400,87.8
65258001,1209.6
65278001,1376.5
65283001,1034.7
65295003,1191.0
65295400,195.2
65304001,1055.4
65329400,517.7
65344001,1130.9
65388001,900.6
65388406,61.300000000000004
65447001,1054.7
65460002,1024.6
65481400,310.0
66002001,284.5
66024001,154.3
66029003,437.7
66037001,297.2
66049001,455.2
66074002,340.8
66082004,570.9
66088003,318.90000000000003
66119002,587.4
66124402,19.4
66136001,244.9
66137003,417.1
66147402,122.6
66148001,293.5
66157001,712.3
66183001,553.7
66187006,471.8
66188401,1.2
66194002,625.8
66202001,481.7
66204002,372.0
66206004,815.0
66212001,250.3
66230001,340.5
66233001,360.4
67027001,1534.8
67029001,858.1
67067001,699.0
67083002,872.0
67115001,636.8
67122001,1307.9
67124001,541.0
67126002,873.9
67165006,1576.1
67180001,845.3
67210002,1381.4
67443001,793.1
67462004,596.5
67482001,679.0
67498001,733.2
67507003,1087.5
67516001,564.3
68028001,704.2
68062001,808.8
68066001,543.7
68102001,1292.2
68112005,817.9
68165001,1094.2
68171002,2196.0
68188002,1406.2
68190001,1073.8
68205001,524.2
68224006,688.3
68226005,1139.2
68231001,575.7
68247001,1817.6
68247003,1901.2
68249002,1819.5
68287001,581.3
68297001,643.8
68307001,2846.9
68338001,901.0
69008001,661.4
69028001,597.0
69029001,717.8
69066003,1055.8
69114001,644.5
69123002,744.3
69135001,1128.9
69141001,611.6
69174002,904.0
69196001,855.5
69203001,746.5
69204002,667.3
69206001,700.5
69238001,657.7
69239002,691.2
69258001,937.7
69264001,637.0
69299001,790.7
70006001,1392.7
70061002,2078.0
70104001,1021.3
70132001,789.3
70165001,942.4
70168001,1141.4
70229001,1065.8
70245003,1232.4
70261001,742.1
70283006,2568.7
70414001,2469.7
70447002,845.8
70473001,1003.1
70545001,861.5
70550001,977.8
70561002,1030.9
71014004,836.4
71022003,882.1
71056003,959.5
71081001,738.5
71105001,827.6999999999999
71106001,989.5
71190001,717.9
71230002,958.6
71240001,855.1
71267001,913.5
71289001,996.0
71320001,919.6
71340002,959.2
71464001,772.9
71482001,994.1
71491001,862.7
71523001,1021.4
71541001,946.2
71558001,1027.2
71589001,732.6
72042001,807.6
72086001,789.8
72093001,842.3
72137006,876.0
72172003,795.6
72175002,723.8
72181001,704.0
72189001,791.4
72237001,810.3
72255001,851.6
72264001,778.2
72275003,852.5
72284001,827.2
72339001,733.3
72351002,836.9
72357001,766.9
72361001,857.5
72377002,891.6
73004400,83.9
73013002,906.0
73015400,525.3
73024400,638.6
73026001,900.4
73034002,1881.3
73034400,719.0
73040005,999.0
73040400,1003.7
73047401,235.20000000000002
73051001,1624.7
73052002,1570.5
73054001,1258.0
73054401,849.0
73055001,1237.2
73064001,1265.5
73098003,1743.0
73107001,1441.1
73123402,180.9
73132001,2161.2
73132003,2053.6
73132400,809.4
73139001,1610.7
73144001,923.6
73144404,387.6
73146001,1513.2
73150004,1268.3
73150400,969.6
73157400,155.8
73167001,1626.9
73171002,1229.2
73173400,325.9
73176400,983.4
73181001,1315.0
73187006,1261.9
73187403,56.4
73191001,1504.7
73194401,487.7
73206001,1509.5
73206400,278.4
73220001,1683.8
73227400,732.2
73229001,1654.9
73232001,1350.8
73232400,467.7
73235400,369.5
73242003,1107.2
73244001,1266.1
73255003,1210.4
73257001,1342.8
73257005,1157.2
73257400,428.6
73258001,1073.8
73261001,1303.4
73261003,1013.1
73280001,1904.9
73280402,328.7
73280404,112.4
73290002,1019.6
73296005,1416.6
73296400,659.7
73297003,1633.6
73303005,1506.2
73304005,1250.6
73304404,611.4
73306005,1112.5
73306403,278.3
73307400,406.3
73318400,477.4
73322001,881.7
73322401,132.7
73329001,1404.2
74001001,1792.5
74014002,1884.6
74014004,2281.2
74014400,789.9
74014402,619.3
74024001,1358.8
74033400,257.5
74035001,1362.4
74037002,1894.1
74042003,1250.8
74045001,1840.2
74051002,1279.3
74056001,1533.1
74056005,1991.6
74056400,59.0
74056402,218.5
